time,code,release
0,120,1
166,120,0
232,65362,1
246,65363,1
358,65362,0
633,65363,0
819,65361,1
1112,120,1
1157,65361,0
1171,65363,1
1242,120,0
1326,120,1
1443,120,0
1514,120,1
1628,65362,1
1649,120,0
1790,65363,0
1805,65362,0
1819,65361,1
1950,120,1
2001,65361,0
2017,65363,1
2086,120,0
2548,65362,1
2865,65362,0
2929,120,1
3071,120,0
3452,120,1
3584,120,0
3648,120,1
3769,120,0
3784,65361,1
3805,65363,0
3945,65361,0
4070,120,1
4191,120,0
4272,65363,1
4518,65363,0
5070,65363,1
5116,65362,1
5272,65362,0
5562,120,1
5694,120,0
6040,120,1
6157,120,0
6231,120,1
6348,120,0
6397,120,1
6534,120,0
6920,65363,0
