time,code,release
0,65363,1
161,65362,1
419,120,1
469,65362,0
519,65362,1
584,65363,0
608,65361,1
629,120,0
829,120,1
986,120,0
1027,65362,0
1162,65361,0
1337,65362,1
1377,120,1
1393,65363,1
1665,120,0
1806,65362,0
1905,120,1
2051,120,0
2101,65363,0
2156,120,1
2297,120,0
2322,65363,1
2840,65363,0
2925,65361,1
3398,120,1
3463,65363,1
3484,65361,0
3585,120,0
4038,120,1
4167,120,0
4392,120,1
4574,120,0
5096,120,1
5193,120,0
6041,65361,1
6063,65363,0
6323,120,1
6455,120,0
6997,65363,1
7028,65363,0
7047,65363,1
7144,65361,0
7778,65363,0
