time,code,release
0,114,1
151,114,0
367,120,1
493,120,0
525,65362,1
619,65363,1
670,65362,0
880,65363,0
1121,65361,1
1413,120,1
1429,65363,1
1449,65361,0
1544,120,0
1648,120,1
1765,120,0
1824,120,1
1933,120,0
2302,120,1
2428,120,0
4167,65363,0
4181,120,1
4322,120,0
4422,120,1
4558,120,0
4648,120,1
4764,120,0
4955,65363,1
5673,65362,1
5775,65362,0
5915,65363,0
6171,65363,1
6297,65363,0
6336,65361,1
6669,65361,0
6683,65363,1
6769,120,1
6895,120,0
6985,120,1
7016,65363,0
7045,65361,1
7126,120,0
7216,120,1
7338,120,0
7794,120,1
7916,120,0
8670,65361,0
